,Author,Year,User Rating,Reviews,Name,Price,Genre
0,Abraham Verghese,2010,4.6,4866,Cutting for Stone,11.0,Fiction
1,Abraham Verghese,2011,4.6,4866,Cutting for Stone,11.0,Fiction
2,Adam Gasiewski,2017,4.4,3113,Milk and Vine: Inspirational Quotes From Classic Vines,6.0,Non Fiction
3,Adam Mansbach,2011,4.8,9568,Go the F**k to Sleep,9.0,Fiction
4,Adir Levy,2019,4.8,8170,What Should Danny Do? (The Power to Choose Series),13.0,Fiction
5,Admiral William H. McRaven,2017,4.7,10199,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,11.0,Non Fiction
6,Adult Coloring Book Designs,2016,4.5,2313,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",4.0,Non Fiction
7,Alan Moore,2009,4.8,3829,Watchmen,42.0,Fiction
8,Alex Michaelides,2019,4.5,27536,The Silent Patient,14.0,Fiction
10,Allie Brosh,2013,4.7,4896,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",17.0,Non Fiction
11,American Psychiatric Association,2013,4.5,6679,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",105.0,Non Fiction
12,American Psychiatric Association,2014,4.5,6679,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",105.0,Non Fiction
13,American Psychological Association,2009,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
14,American Psychological Association,2010,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
15,American Psychological Association,2011,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
16,American Psychological Association,2012,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
17,American Psychological Association,2013,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
18,American Psychological Association,2014,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
19,American Psychological Association,2015,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
20,American Psychological Association,2016,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
21,American Psychological Association,2017,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
22,American Psychological Association,2018,4.5,8580,"Publication Manual of the American Psychological Association, 6th Edition",46.0,Non Fiction
23,Amor Towles,2017,4.7,19699,A Gentleman in Moscow: A Novel,15.0,Fiction
24,Amy Ramos,2018,4.3,13061,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,6.0,Non Fiction
25,Amy Ramos,2019,4.3,13061,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,6.0,Non Fiction
26,Amy Shields,2019,4.8,7866,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),11.0,Non Fiction
