label;sentence
0;Veranstaltungen, Entspannung
0;denkabr wäre Kunst und 
0;mehr Entspannungs- und Freizeitmöglichkeiten
0;Freizeitmöglichkeit mit Wiese, eventuell Parkähnlich
0;Nutzungsraum für Feste und Veranstaltungen im Freien
0;Mehr Initiativen für Studenten Mehr Aktivitäten im Freien
0;s.o. und mehr Kulturorte, Kindergarten, Freizeiteinrichtungen
0;Mehr Raum für Kunst und 
0;Studentenkneipe oder Kaffee, kleine Geschäfte, offene Kulturräume
0;Freizeitmöglichkeiten wären gut. Caf s, wiesen auf denen man sitzen möchte
0;Freizeitmöglichkeiten, Sitzmöglichkeiten, Sportmöglichkeiten - Kraftpark
0;Streetart. Keine Werbeplakate mehr an der Wand an der Bushaltestelle an der Mensa.
0;Fußgängerunterführung in Kombination mit Kreativräumen (Makerlabs, Atelier, Bühne o.ä.)
0;aktivere Gestalltung als Aufenthaltsraum, z.B. im Rahmen von Veranstalltungen an der TU Dresden
0;zum Informieren, Aufenthalt für Studierende, Wegweisung, Ausstellung und Kunst, Willkommen am Campus,
0;Nutzung als Lehrreichen Kunst-Technischen Ausstellungsraum (ähnlich dem Bereich vor dem Potthoff-Bau)
0;Street Art auf dafür eingesetzten Wänden und Flächen, Festivitäten im Bereich der Studenten- Wohnheime.
0;spontante Ausstellungen oder eine Box, in der innovative und/oder spannende Ideen, Projekte etc vorgestellt werden
0;temporäre Ausstellungn und Aktionen bieten, stärker nutzen am Wochenden für die Leute die in der Nähe der Uni wohnen
0;Kunst und wissenschaftliche Exponate im öffentlichen Raum.
0;Verweilzonen, Springbrunnen oder auch andere Kunst? Vielleicht ein Spielbereich für Studierende und Anwohner mit Kindern?
0;Aufenthaltsort, großflächige/großformatige Kunstinstallationen, Verstärken der Funktion als Campuszugang, Outdooraktivitäten
0;regelmäßige Konzerte oder ähnliche Veranstaltungen, die es möglich machen, dass man den Platz als Mensch zu Fuß erleben kann.
0;Interaktionsmöglichkeiten Kunst/Wissenschaft zur ERhöhung der Attraktivität des Platzes auch am Wochenende oder in den Abenstunden
0;steckt schon oben mit drin Kunst!! in Zusammenarbeit mit Hochschule, ggf. auch temporär wechseln, teils fest installiert Skaten Longbord Möglichkeit als kleine Abwechslung auf dem Weg
0;Belebung durch Räume schaffen um sich zu treffen, ins Gespräch zu kommen, sich zielgerichtet zu treffen, statt sich nur wegen Vorlesungen oder zufällig an der Haltestelle zu begegnen
0;Möglichkeiten für Kunst z.B. Graffitiwände, vielleicht könnte es auch ein urban gardening Projekt geben
0;Freizeitmöglichkeiten wären hingegen schön, bereiche für Künstler und Musiker, zB. mit einem öffentlichen outdoor Klavier oder sowas ähnlichem.
0;Man könnte dort wunderbar ohne weitere Umbaukosten Skulpturen der HfBK präsentieren anstatt ungepflegter Blumenkübel.
0;Platz für Projekte von Studenten, wie Skulpturen, die manchmal auf dem Platz vor dem HSZ ausgestellt werden. 
0;Platz für Versammlungen von größeren Menschenmassen bspw. um sich für bestimmte Demos oder kulturelle Projekte zu treffen. Ausweitung des Uni-WLANs oder Schaffung eines öffentlichen Hot-Spots zur Nutzung von Internet auf dem Platz.
0;Es wäre auch schön, wenn sich hier wieder mehr Konzerte ansiedeln würden, wie früher das Dixieland-Festival oder Outdoor-Messen oder einfach Konzerte für Junge Bands, Newcomer aus dem Ausland. 
0;Kirchgemeinde Altgruna Bodenbacher Straße
0;Ich nutze die Angebote der Kirchgemeinde Gruna-Seidnitz.
0;Angebote Kirchgemeinde Gruna-Seidnitz (Thomaskirche, Pfarrhaus)
0;Nicht in Altgruna sondern in der Stadt (Theater, Staatsoperette)
0;Bibliothek Gruna, Familienzentrum Pauline, Kino PK Ost, Theater Junge Generation, Konzerte
0;Ich nutze, wenn es denn wieder da ist, das Grunaer Ortsteilfest. Mitten in meinem schönen Altgruna.
0;Keines. Fast keine Möglichkeit zur Nutzung kultureller oder öffentlicher Einrichtungen durch junge Erwachsene.
0;In Gruna? Eher keins. Früher gern die Pauline (Frühstück mit Vati), manchmal (eher selten) die Kirche bei Veranstaltungen.
0;Kino Ost- Altenberger Straße Theater, Konzert- Innenstadt Sportstudio- Pirnaer Landstraße Zoo, Großer Garten, Parkeisenbahn
0;Staatsoperette im Kraftwerk Mitte, Kulturpalast, Filmkino Ost, Schandauer Straße, Kino in der Fabrik, Tharandter Straße, Museen im Zentrum
0;In Gruna nutze ich an kulturellen Angeboten nur die Bibo. Die Thomaskirche liegt ja außerhalb des Kerngebietes Altgruna. Ansonsten die Angebote im Zentrum.
0;Diskussionsangebote, besonders zur Gestaltung: Stadtbezirksbeirat Blasewitz Interessengemeinschaft in Gruna leben e.V. Partei DIE LINKE Vereinte Dienstleistungsgewerkschaft VER.DI
0;Momentan leider kaum etwas, ich nutze generell wenig in Altgruna, weil es hier wenig gibt. Gibt es hier Musikschulen? Theater? Kulturstädten? Regelmäßig nutze ich wirklich die Bibliothek, aber mehr kaum.
0;Ich nutze selten kulturelle Angebote in Altgruna, was sicherlich auch dem spärlichen Angebot geschuldet ist (auch wenn sich einige Initiativen sehr stark engagieren). 
0;Wenn man es als kulturelles Angebot zählen möchte, lautet meine Antwort Fußballschauen in der Bar an der Grünfläche/gegenüber dem Ferat Kebab Haus.
0;Philharmonie, tjg
0;Oper bzw. Operette
0;Fußball- Dynamo Stadio Museen- im ganzen Stadtgebiet
0;Kulturhaus an der Schandauer Straße, ehemals Klubhaus Pentacon Gruna
0;Fehlende transparenz welche Angebote noch verfügbar sind z.B. vom Jugendclub Sofa 9.
0;in Gruna/Altgruna gar keins - da gibt's ja nichts. Theater - Innenstadt, Neustadt Museum - Innenstadt
0;Die Kirche in der Bodenbacher Straße (nie) bzw. der Senioren-/Familientreffpunkt in der Nähe vom Norma (nie).
0;Kleinkunstbühne/Kino Schwimmhalle in der Geisingstr
0;Eine schöne gepflegte Gastsätte mit kulturellem Angebot
0;Kulturzentrum mit kleiner Bühne für Konzerte, Filmvorführungen, Lesungen, netter Bar
0;Öffentliches Singen und musizieren, vlt an den Brunnen, inkl Getränke und Essen im Frühling und Sommer, Adventssingen an den Brunnen
0;Cafés mit kulturellem Angebot wie Büchercafés oder mit kleinen Bühnen, wo Musiker und andere Künstler auftreten können und so ebenfalls öffentlicher Raum belebt wird.
0;Mir fehlen insbesondere Angebote für junge Erwachsene (z.B. kleines Kino oder hippe Bar, vielleicht auch mit kleinen Konzerten), sollte sich auch in der Nähe des Platzes rund um den Findlingsbrunnen befinden.
0;Mehr Kulturelle Angebote für Mittlere und alle Altersklassen, Kleinkunst oder Kino (ähnlich Club Passage in Gorbitz), zentral gelegen. Für Senioren und junge Familien gibt es einige Angebote, sonst jedoch wenig.
0;Eine Musikschule wäre toll, und auch eine Tanzschule. 
0;Kulturelles Zentrum für politische und/oder Gesellschaftlicher Bildung. 
0;In Gruna gibt es alle Waren des täglichen Bedarfes und auch ausreichend gastronomische Einrichtungen, wo man essen und trinken kann, jedoch keine kulturellen Angebote, kein Ort der kulturellen Begegnung für die Einwohner. 
0;Kunst wertet immer alles auf
0;Auf das nächste Brunnenfest freue ich mich
0;Ausbau des Brunnenfestes zu einer festen Größe
0;die alte Spar-Kaufhalle kann von Airbrushkünstlern verschönert werden
0;Es fehlt an 
0;Ich denke, für kulturelle Angebote fährt die junge einheimische Bevölkerung eher in die Alt- oder Neustadt.
0;völlig fehlendes 
0;Kleine Veranstaltungen beim Findlingsbrunnen, gern gesehen ist Laternenumzug und Vorstellungen mit Musik, die beleben das Viertel und bringen Freude
0;Erweiterung des kulturellen Angebotes (außer Bibliothek), siehe Punkt 3. Fidelio ist ja eher für die Senioren und die Pauline für junge Familien gedacht
0;Es müssen ja nicht in jedem Stadtteil alle gleichen Angebote exisitieren, d.h. nicht in jedem Stadtteil ein Kino oder Theater. Aber mit der Schieferburg gibt es ja ein außergewöhnlich schönes Kinder- und Jugendhaus, dass aber nur wenige kennen.
0;An dieser Stelle könnte ein kleines Lokal mit einem Garten davor unter der Weide entstehen mit einem TanzCafé nachmittags für die Älteren und abends dann Disco für die Jugend, wo Versammlungen, Vorträge und Familienfeiern stattfinden können. 
0;Schaffen Sie Raum für Künstler und Musiker, die bringt Leben ins Quartier und hiflt den älteren. Schaffen Sie Platz für die Jugendlichen (die Skaterbahn ist da schon ein guter Anfang!) Verbinden Sie die Teile für alle (Fußgänger, Fahrradfahrer, Kinder) günstig, verdrängen Sie die Autos auf Ihre Parkplätze, Helfen Sie denen mit Mobilitätshilfen und Behindertenparkplätzen die Ihren Parkplatz vor der Tür haben müssen.
0;Feste und andere Aktionen im öffentlichen Raum sind aufgrund von städtischen und sonstigen Auflagen und wenig Unterstützung teuer und aufwendig und dementsprechend klein und selten. Eine (zentrale) Ansammlung der aktiven Institutionen, wie ein Stadtteilhaus, gibt es leider nicht.
0;Mehr und zentralere Aushänge zu Veranstaltungen Erstellung von Informations - und Gedenktafeln - viel mehr als die vorblidliche Dokumentation der DREWAG am Parkplatz Rothermundtstraße/Zwinglistraße fehlt mir zum gegenwärtigen Bestand nicht ein. 
0;Fidelio mit kulturellen Angeboten
0;Flohmarkt oder Trödelmarkt, oder Foodfestival oder sowas
0;Straßencafé im zentralen Bereich (Findlingsbrunnen) Straßenfeste am Brunnen
0;gestaltete Wohnhöfe kulturelle und Begegnungsangebote in der Villa Akazienhof Open-Air-Angebote rund um den umgestalteten Findlingsbrunnenplatz
0;ich glaube dass eine Galerie oder ein Museum eine positive Auswirkung hätten genauso wie bessere Angebote für junge Erwachsene ohne Kinder, klar gibt es ein paar schöne Parks aber eben sonst kaum etwas
0;Kulturveranstaltungen für jung und alt, integrative Treffen z.B. bei Stadtteiltreffen.
0;Stadtteillounge einrichten Kreativräume schaffen Malort o.ä. etablieren Offen für alle. Kostenfrei
0;Lockdown-Schäden für Restaurants und Läden nie wieder zulassen, Gemeinschaft, Singen und musizieren wieder ermöglichen
0;Umnutzung des Vonoviagelände mit den letzten Zeugnissen des Dorfkerns und der Industriegeschichte zu einem 
0;Die große Wiese hinter dem ehemaligen Postgebäude wirkt auf mich wie eine große Brache, wenn sie nicht einmal im Jahr zum Brunnenfest genutzt wird. 
0;Schade finde ich auch, dass die kleine Skulptur mit den Ziegen auf dem Weg zum Rothermundtpark so wenig Beachtung erhält.
0;Gestaltung eines Kulturwandels durch die Schaffung von Anreizen zur Nutzung von digitalen Angeboten 
0;Im BUND Naturerlebnisgarten wird der Austausch unterschiedlichster Bürger:Innen gefördert, während gleichzeitig die Grünflächen der Stadt aufgewertet werden und ein besseres Umweltverständnis bei den Teilnehmenden entsteht. 
0;Eine Flächennutzung, die themenübergreifende Mehrwerte schafft, ist allgemein sinnvoll und übertragbar.
0;Beheizt mit Geothermie bilden Sie Pilotprojekte in diesem Energiesektor und bieten gleichzeitig klimaschonende Freizeitbeschäftigungen.
0;Aktuell wird der Lola-Rogge-Platz als der zentrale Treffpunkt und das Zentrum der östlichen HafenCity von der Baakenallee zerschnitten. 
0;Damit dieser Platz seiner sozialen Funktion gerecht werden kann sollte die Baakenallee in diesem Bereich auf maximal 3m Breite verengt werden und gepflastert sein - idealerweise als Shared Space! 
0;Hamburg hat mit der SPEICHERSTADT und dem KONTORHAUSVIERTEL eine der beeindruckensten WELTERBE-STÄTTEN in Deutschland. 
0;Leider sind beide Orte zu kostengünstigen PARKPLÄTZEN verkommen. 
0;Diese einzigartigen Orte sollten geschützt und von den alles dominierenden Blechlawinen befreit werden. Daher: Wenn wir es mit der VERKEHRSWENDE
0;Reparieren und weiterverwenden ist fast immer besser fürs Klima als neu kaufen.Reperaturcafes, Fahrradselbsthilfe-werkstätten, Nähcafes und ähnliches sollten von der Stadt besser gefördert werden.
0;interaktive Lernpfade bauen für Kinder als auch Erwachsene um über die Natur &amp
0;Der ELBDOME für die Basketballer und die Handballer sollte unbedingt an den Löschplatz im Billhafen gebaut werden, denn an diesem Ort wäre das Gebäude perfekt angebunden. 
0;Es wären nur wenige Meter bis zur U- und S-Bahn-Haltestelle Elbbrücken. Des Weiteren halten an dieser Stelle rund 8 unterschiedliche Buslinien UND der Ort ist sowohl fußläufig als auch mit dem Fahrrad über die Elbpromenade ideal an die Innenstadt angebunden. 
0;Warum will man die Halle irgendwo hin bauen wo jeder mit dem Auto kommt statt hierhin wo man problemlos den ÖPNV, das Fahrrad oder die Füße nutzen würde?
0;Falschparker auf Geh- und Radwegen sowie in Feuerwehrzufahrten gefährden wissentlich Menschenleben. 
0;Aus diesem Grund sollte die Überwachung personell massiv verstärkt und zeitlich auf 24/7 ausgeweitet werden. Es ist niemandem geholfen, wenn 1 mal am Tag jemand vorbeischaut und 23:59 Minuten die Feuerwehrzufahrt, der Radweg oder die Kreuzung lebensgefährlich blockiert werden. 
0;Daher stündliche Kontrollen, immer. Wer Leben bewusst aus Faulheit gefährdet sollte umgehend und konsequent abgeschleppt werden!
0;Moin Zusammen!Früher gab es hier mehrmals im Jahr Trödelmärkte. Das ist nicht mehr. Warum? Eigentlich doch eine sinnvolle Art den Platz zu beleben. Hab dort als Anwohner immer gerne mit Rabatt bei den Standgebühren verkauft. 
0;Bitte wieder ermöglichen. Ist doch auch gut für die Umwelt wenn dort ein Trödelmarkt stattfindet. Danke - eure Umwelt. 
0;Öffentliche Toiletten für Menschen ohne Obdach bereitstellen und menschenwürdige Bedingungen und das Drob Inn Richtung Hammerbrook / Münzviertel zu schaffen
0;In Fahrtrichtung rechts zwischen Abstellgleis und Högerdamm befinden sich derzeit zahlreiche Autohändler. #
0;Diese Flächen können sicher einer Nutzung zugeführt werden, die der zentralen Lage angemessener ist als Gebrauchtwagenhändler, die auch in jedes Gewerbegebiet ziehen könnten. 
0;Es fehlt m.E. momentan an Raum für die Bildung der Schüler in Bezug auf Nachhaltigkeit und Klimaschutz, daher sollte man diesen Themenkomplex breitgefächert fest ins Curriculum der Schulen integrieren und dies nicht dem Zufall und guten Willen der Lehrer überlassen.
0;Stärkere Förderung einer integrativen Mehrzwecknutzung von Freiflächen. Gerade die Flächen des Ohlsdorfer Friedhof eignen sich, um die Anwohner:Innen in eine Nutzung mit einzubeziehen und die Ausgleichsflächen so noch erlebbarer zu machen.
0;Viele Menschen schmeißen funktionale Dinge, die nicht mehr im eigenen Haushalt gebraucht werden weg. Oft können andere Menschen sie noch für ihren Alltag gebrauchen. 
0;Bücher, Spielzeug, kleinere Haushaltsgegenstände, Möbel und Kleidung können dort (wenn sie wettergeschützt sind) gut ausgetauscht werden.
0;Autofreie Sonntage in Nord könnten von Vereinen und Initiativen für nachhaltige Stadtfeste genutzt werden, um den Menschen zu verdeutlichen, dass Autos ganz schön viel Platz wegnehmen und für ein gutes Leben nicht nötig sind.
0;Es gibt soviele Möglichkeiten in Hamburg etwas zu unternehmen.Wäre es nicht toll, wenn wir kostenlos mit dem HVV zu diesen Orten/Veranstaltungen fahren können. 
0;Anstatt ein Taxi, Car-Sharing zu nutzen.Ich habe die kostenlosen Wochenenden im September gerne genutzt, da ich kein Abo habe weil ich alles zu Fuß erledigen kann.
0;in dieses tolle gebäude bringen, vielleicht auch wieder ein kino? Wie vor dem Aldi
0;Unterstützung des vermutlich bereits fast Klima-neutralen Naturbades, um es Zukunfts-sicher zu machen. 
0;Rund um den Kuhmühlenteich liegen heute zahlreiche Kanus und Kajaks festgekettet in der Böschung. Das ist auf mehreren Ebenen schlecht für Flora und Fauna.
0;Vorschlag: Auf beiden Seiten ein paar Parkplätze gegen mehretagige Kanu- und Kajakstellplätze austauschen und diese der Öffentlichkeit (kostenlos, wie Fahrradbügel) zur Verfügung stellen. 
0;Zusätzlich auf beiden Seiten des Teichs jeweils einen Anlieger installieren, sodass Ein- und Aussteigen ohne Naturzerstörung möglich ist.
0;Gerade an schönen Tagen ist es an der Alster voll. Durch die misslungene Umgestaltung vor Bobby Reich ist der Fußgängerbereich durch 4 Autoparkplätze und die Fahrradabstellbügel zusätzlich verengt worden. 
0;Letztere werden so gut wie nicht angenommen. Es wäre meine Ansicht nach angemessen auf 4 Autoparkplätze zu verzichten damit sich über 1000 Menschen pro Tag durch die 2,5m Breite Gasse drängeln müssen. 
0;Die Fahrradabstellbügel könnten anders angeordnet werden, damit sie weniger Platz in Anspruch nehmen.  
0;Gerade an schönen Tagen ist es an der Alster voll. Bei der aktuellen Umgestaltung zur Fahrradstraße Bellevue wird der Weg an der Alster durch die Schaffung von wenigen Parkplätzen auf eine schmale Gasse verengt. 
0;Konflikte an Schönwettertagen zwischen Spaziergängern, Joggern und Hundehaltern sind vorprogrammiert. Warum müssen sich Hunderte von Joggern und tausende Fußgänger in einer schmalen Zone drängeln, damit weniger als 10 Autos Platz finden? 
0;Es fahren viele Menschen mit dem Auto in den Stadtpark, nur weil sie nicht wissen, wo sie die Luftpumpe und ggf. die Ersatzklamotten sonst unterbringen sollen, wenn sie mit dem SUP-Board unterwegs sind.  Eine Station mit Luftpumpe, Fahrradbügeln und evtl. Schließfächern würde das Problem lösen. 
0;Die Boards selbst sind im Allgemeinen problemlos in den dazugehörigen Rucksäcken zu transportieren. 
0;Die Stadt könnte Info-Rundwege zum Thema Nachhaltigkeit zum Spazierengehen/Radfahren z.B. durch Barmbek/Pergolenviertel oder im Stadtpark erstellen. In regelmäßigen Abständen könnte es auf den Routen Infotafeln geben, die praktische Tipps zum nachhaltigen Leben geben. Z.B. Wie vermeide ich Plastik? 
0;Worauf achte ich beim Einkaufen? Etc. Die Tafeln könnte man über einen Wettbewerb in Schulen erstellen lassen. 
0;Das fördert ein nachhaltiges Bewusstsein. 
0;Den Platz durch umweltschonende Veranstaltungen beleben, zum Beispiel Flohmärkte, Tauschbörsen, Markt mit regionalen Produkten 
0;Verschenke-Plätze entstehen z.B. vor Haustüren oder Parkbänken und werden von vielen Menschen genutzt. Recycling statt Neuproduktion ist sehr wichtig. 
0;Auf Recyclinghöfen sollten umgebaute Container angeboten werden, in dem man brauchbare Sachen hinstellen kann und jeder sich bedienen darf. 
0;Auch Kulturzentren (Barmbek Basch), Jugendzentren, Schulen, Kitas, Unis oder Bücherhallen sollten Verschenke-Regale anbieten. 
0;Gründet ein Team, die solche Regale unkompliziert planen und montieren!
0;Um der Nachhaltigkeit noch mehr Sorge zu tragen sollen bitte Fairteiler bzw. Tauschboxen oder Tauschregale initiiert, installiert und gefördert werden. 
0;Ebenso sollen Möglichkeiten und Orte für Foodsharing geschaffen werden, um der Lebensmittelverschwendung entgegenzuwirken. 
0;Dies trägt ggf. zu einer starken nachbarschaftlichen Gemeinschaft bei und bietet einen Treffpunkt zum Kennenlernen und Austausch. 
0;Ggf. Nachbarschaftstreffs, Stadtteilbüros etc. involvieren. Gemeinsam teilen, “fair“teilen.
0;Zur Beruhigung des Verkehrs sollten Spiel- und Nachbarschaftsstraßen eingerichtet werden. 
0;Diese sollen dann gesperrt werden, um von Kindern und allen Nachbarn genutzt werden und zugänglich sein. 
0;Treffpunkt für Kennenlernen, Austausch, Flohmarkt, Malen, Basteln, Spielen, Essen etc. Vorbild Berliner Modell
