new_labels;new_sentences
9;nix
9;keine
9;i.O.?
9;Keine.
9;schild
9;Sie oben
9;Wegweiser
9;Alles gut
9;siehe oben
9;Wesentlich!
9;keine Ideen
9;keine Angabe
9;bislang keine
9;siehe Anfang
9;Nicht betroffen.
9;leider keine Idee
9;weiter so bleiben
9;Sitzgelegenheiten
9;Bereits vorhanden
9;bereits mitgeteilt
9;Es kann so bleiben.
9;Hanglage verbessern
9;siehe meine Vorschläge
9;Sollte besser werden :)
9;Kann ich nicht beurteilen
9;Siehe vorherige Antworten
9;keine konkreten Vorschläge
9;Besser geht bestimmt immer.
9;Keine, wäre sinnlos überladen
9;Rappe auf der Seite der Mensa
9;Kann ich auch nichts dazu sagen
9;Im Zweifelsfall immer: Verbessern.
9;Dazu kann ich leider nichts sagen.
9;die gleichen wie vorher beschrieben
9;Sicheres Umfeld für alle Gruppen schaffen
9;Dort wo es Probleme gibt sollte man nachbessern.
9;Unsere Bauvorschriften sind hierfür ausreichend.
9;keine angabe hab müsste ich mir nochmal anschauen
9;ich kann dazu nicht aus eigener Erfahrung berichten
9;kürzere Wege, eventuell auch mehr Wegweiser für alle
9;Campusplan/3D Modell vom gesamten Campus mit Namen ser Gebäude
9;Schilder in 300 verschiedenen Sprachen? Muß ja jeder lesen können
9;ndlich auch mal Winterdienst, der die Bezeichnung auch verdient.
9;Ausreichend lange gleichzeitig Grün für Fußgänger an allen Übergängen
9;zu dem Thema sollten sich die Betroffenen und Experten zusammen setzen
9;wie gesagt, eine Brücke. Orientierungshilfen sind aber auch nicht falsch.
9;Farbliche Auffälligkeiten (roter Boden) der Radwege durchgehend anbringen!!!
9;Orientierungshilfen, wie es hinter der technischen Leitzentrale aufgebaut ist
9;ebener gestalten -> aber schwierig umsetzbar und deshalb kann alles so bleiben
9;Orientierungshilfe in Form von Überblickstafel fehlt, evtl. Fixpunkte schaffen
9;Leit- und Orientierungssystem sollte analog zum TUD-Standard verbessert werden.
9;.. naja, erstmal richtig umsetzen. Das fängt bei den Absenkungen von Bordsteinen an.
9;Weiter verbessern auch in Bezug auf bessere Vernetzung bzw. bessere Umstiegsmöglichkeiten
9;maßgebliche Verbesserung durch die o.g. Umgestaltung möglich, ggf. bessere Ausschilderung
9;Eigentlich ist die Barrierefreiheit gut, nur die Anschlüsse an weitere Wege sind nicht optimal
9;Verbesserungen gibt es sicher viele, wie zB Orientierungshilfen, mehr Platz, weniger steile Rampen
9;Man könnte mehr darauf hinweisen, wo man sich gerade befindet. In welcher Richtung sich was befindet
9;Bessere Ausgestaltungen von Eingangssituation und klarere Ausschilderungen der barrierefreien Zugänge
9;z.B. lange Kanten als Orientierungshilfe, weniger zerstückelt. Mehr halt und den Wegen einen Rahmen geben.
9;Ebene Kreuzungsmöglichkeiten, haptische Leistreifen im Bodenbelag als Ergänzung zum akustischen Ampelsignal
9;make the square even, this means no Bordsteine, bordkante, kerbstones etc. this will also make benefit bikes
9;Sollte es nicht sein, wäre das ein Armutszeugnis, denn beim Umbau der Kreuzung hätte das mit erfolgen müssen.
9;Sicherlich kann man Führungslinien für (fast) Blinde weitläufiger verbauen, ansonsten bin ich beim Thema überfragt
9;Es könnte Rampenkonstruktionen eingebaut werden, die gleichzeitig mit Sitz- und Freizeitmöglichkeiten integriert werden.
9;Bitte nicht noch mehr Orientierungshilfen im Boden. Massive Leiteinrichtungen des Verkehrs durchblickgerechter gestalten.
9;Eine Bedarfsanalyse sollte erstellt werden. Wer ist dort, wer bewergt sich wie und wieviel Barrierefreiheit ist notwendig.
9;Fragen Sie Fr. Winkler: https://tu-dresden.de/ing/informatik/ai/mci/die-professur/news/neues-beratungsangebot-an-der-tu-dresden
9;Wichtig sind starke Gefälle, wie an der neuen Haltestelle Strehlener Bahnhof, das ist wichtig für das Bizepstraining der Rollifahrer.
9;In dieser Hinsicht könnten die Planer einen Selbsttest unternehmen, um etwaigen Verbesserungsbedarf zu finden (z.B. Neigungen von Rampen).
9;so. Verlegung der Haltestellen der Linie 61 an eine günstigere Stelle. Wegweiser was auf welcher Platzseite zu finden ist wäre sicher auch hilfreich
9;Ich habe keine touristischen Hinweisschilder oder Orientierungshilfen für Studenten wahrgenommen. 
9;Ich denke, da gibt es genug Kompetenz im Stadtrat bzw. Bauausschuss der Stadt, dass dafür gute Lösungen gefunden werden. Ich kenne mich in diesem Bereich nicht aus, um gute Vorschläge machen zu können.
9;Den Platz hinter der Bushaltestelle auf der Seite des HSZ vergrößern!!! Das ist eigentlich das schlimmste am ganzen Fritz-Foerster-Platz. Aber bitte ohne die Gehölze dahinter zu Fällen, nur die Hecken.
9;diesen Anstieg wenn Möglich glätten und diese kleine Mauer wegmachen. Abfahrtszeigen der anderen Haltestellen bei jeder Haltestelle mit anzeigen (wie am Postplatz). Wer nicht hetzt, kann nicht stürzen.
9;BLO der TUD kann auch für die gesamte Wegeführung in und um den Campus genutzt werden, Implementierung im Campusnavigator etc. 
9;Es sollte intensiv mit den Zielgruppen und Interessensverbänden gearbeitet werden!
9;Die Treppen vor dem jetzigen Haupteingang des Willersbaus sind für Rollstuhlfahrer nicht machbar.
9;Grundstückseinfahrten sollte nicht gepflastert werden.
9;Gilt für die Haltestellen und auch für Bänke. Bänke sollten zudem eine gute Sitzhöhe haben, also nicht zu niedrig sein.
9;außerdem ist es gefährlich für diese Menschen erstmal den Radweg überqueren zu müssen, um auf den richtigen Gehweg zu kommen.
9;Zum Teil sind Radfahrende erst spät zu sehen, weil das Haltestellenhäuschen die Sicht nach bergauf verdeckt oder weil der Rad- u. Fußweg um die Kurve geht (Westseite des Platzes nahe Beyer-Bau/HSZ). 
9;Mehr Beschilderungen und Orientierungshilfen. Die Schilder mit Campus-Plan, wo die Campus-Gebäude nummeriert sind, bringen nicht viel, weil die Legende alphabetisch nach Gebäude-Namen geordnet sind und nicht aufsteigend nach Zahlen. 
9;Auswärtige kennen sehr oft nicht die (vollständigen) Gebäudenamen und müssen dann ewig suchen (z. B. hatte ich schon oft erlebt, dass welche den Schubert-Bau suchten, aber auf dem Plan nicht fanden, weil sie nicht wussten, dass der Bau Andreas-Schubert-Bau (ASB) heißt). 
9;Zum Teil sind die Pläne auch veraltet, dort stehen zum Teil Gebäude, die schon abgerissen wurden, aber einige Neubauten fehlen. Also bitte mal die Legenden überall nach Zahlen ordnen und die Pläne aktuell halten.
9;keine
9;Keine.
9;nichts
9;Nichts.
9;Erholung
9;mehr Grün
9;Stadtplatz
9;noch keine
9;habe keine
9;Freies WLAN
9;keine Autos
9;keine passt
9;Spontan keine
9;Wege verkürzen
9;Erholung grün
9;Schnellere Ampel
9;Schon geschrieben
9;Pavilion mit Caf
9;Grün und Wasser
9;Lesemöglichkeiten
9;Sitzgelegenheiten
9;bereits mitgeteilt
9;Freizeitmöglichkeit
9;staufreie Durchfahrt
9;Bereits geschrieben.
9;Freizeitmöglichkeiten
9;Sichtbar Tor zur TU
9;Mehr Studentenkneipen
9;kann alles so bleiben
9;mehr Angebote schaffen
9;Mehr Platz für Radwege!
9;Info-Spot für Studenten
9;Weniger Autos, mehr Wiese
9;keine, es ist eine Straße
9;Bänke, Tische, Liegewiese
9;Begrünung - Entlärmung
9;Lärmschutz vor Autoverkehr
9;Fläche für Marktstände o.ä.
9;Sitzmöglichkeiten verbessern
9;Mehr für Demos nutzbar machen
9;Mehr Platz statt mehr Gebäude
9;Sport? Bei der Luftbelastung?
9;Aufenthalt/Sitzen, Biergarten
9;Mehr Aufenthaltsräume bieten!
9;Grünflächen mit Sitzbereichen
9;mehr Treffpunkt und Aufenthalt
9;erholungsmöglichkeiten schaffen
9;Verweilmöglichkeiten wären schön
9;keine Kreuzung bleibt Kreuzung
9;Das ist insgesamt zuviel verkehr
9;mehr Informationen zur TU Dresden
9;mehr Freizeitmöglichkeiten wäre gut
9;es soll alles so bleiben wie es ist
9;Straßenbahn über den Zelleschen Weg.
9;ergibts sich aus vorherigen Antworten
9;Verträglichkeit von Verkehr und Studium
9;Reicht schon, das muss nur besser werden.
9;Möglichkeiten zum Entspannen fehlen noch.
9;mehr öffentliches und gemeinschaftliches
9;Sitzmoglichkeiten und Fahrradabstellplätze
9;Derzeit keine weiteren Nutzungen sinnvoll.
9;Plätze mit Aneigungsmöglichkeiten schaffen
